feature,importance
out_degree,0.34772116
in_degree,0.33233553
node_feat_0,0.21007124
total_degree,0.055879656
edge_type_2_out,0.05233226
known_fraud_neighbor_ratio,0.0011108207
mean_out_timestamp,0.0004019136
mean_total_timestamp,0.00014747928
node_feat_3,0.0
node_feat_5,0.0
log_in_degree,0.0
node_feat_4,0.0
missing_value_count,0.0
log_total_degree,0.0
log_out_degree,0.0
edge_type_3_out,0.0
edge_type_1_out,0.0
edge_type_1_in,0.0
edge_type_2_in,0.0
edge_type_3_in,0.0
edge_type_4_out,0.0
edge_type_4_in,0.0
edge_type_1_total,0.0
edge_type_3_total,0.0
edge_type_2_total,0.0
edge_type_4_total,0.0
unique_edge_type_out_count,0.0
node_feat_2,0.0
node_feat_1,0.0
unique_edge_type_total_count,0.0
unique_edge_type_in_count,0.0
min_timestamp,0.0
mean_in_timestamp,0.0
timestamp_span,0.0
neighbor_label2_count,0.0
neighbor_label3_count,0.0
max_timestamp,0.0
neighbor_label3_ratio,0.0
neighbor_feat_0_max,0.0
neighbor_feat_0_min,0.0
neighbor_feat_0_mean,0.0
neighbor_feat_1_max,0.0
neighbor_feat_1_min,0.0
neighbor_feat_1_mean,0.0
neighbor_label2_ratio,0.0
neighbor_feat_2_max,0.0
neighbor_feat_2_min,0.0
neighbor_feat_3_max,0.0
neighbor_feat_2_mean,0.0
neighbor_feat_3_mean,0.0
neighbor_feat_4_max,0.0
neighbor_feat_4_min,0.0
neighbor_feat_3_min,0.0
neighbor_feat_4_mean,0.0
neighbor_feat_5_max,0.0
neighbor_feat_5_mean,0.0
neighbor_feat_5_min,0.0
known_fraud_neighbor_count,0.0
known_normal_neighbor_count,0.0
known_labeled_neighbor_count,0.0
known_normal_neighbor_ratio,0.0
