feature,importance
known_normal_neighbor_ratio,0.046133336
mean_out_timestamp,0.03576152
log_out_degree,0.024520313
node_feat_2,0.02414257
known_normal_neighbor_count,0.0206049
neighbor_label2_ratio,0.017376794
edge_type_10_total,0.015716674
neighbor_feat_16_max,0.0154007
edge_type_5_out,0.015173976
edge_type_10_out,0.014945399
timestamp_span,0.012590018
out_degree,0.012225697
node_feat_0,0.012156656
min_timestamp,0.0117705
neighbor_feat_16_mean,0.010975929
edge_type_11_total,0.01088031
edge_type_1_total,0.010751298
edge_type_4_out,0.010584964
node_feat_6,0.010187639
neighbor_feat_15_max,0.00994574
edge_type_9_out,0.009931642
node_feat_11,0.009842282
edge_type_9_total,0.009736355
edge_type_11_out,0.00942246
node_feat_15,0.009278955
max_timestamp,0.008540843
neighbor_label2_count,0.00798158
node_feat_3,0.007912469
neighbor_feat_7_mean,0.0077498206
neighbor_feat_15_mean,0.0075616804
neighbor_feat_13_mean,0.0075317007
node_feat_8,0.007509519
neighbor_feat_7_max,0.007333759
edge_type_1_in,0.0073052
node_feat_4,0.0072947224
edge_type_4_total,0.0072246892
neighbor_feat_10_mean,0.007211259
known_fraud_neighbor_ratio,0.0071742414
edge_type_3_in,0.007040593
neighbor_feat_5_mean,0.0069825696
edge_type_2_total,0.006947984
mean_total_timestamp,0.0069270693
edge_type_2_in,0.0069163875
node_feat_1,0.0068539144
neighbor_feat_12_mean,0.006828764
mean_in_timestamp,0.006826785
neighbor_feat_9_mean,0.0067985007
edge_type_8_out,0.0067931926
edge_type_5_total,0.0067645838
edge_type_6_out,0.006696898
edge_type_1_out,0.006616504
neighbor_feat_3_mean,0.0066164318
total_degree,0.00657549
neighbor_feat_8_mean,0.0065321997
neighbor_feat_11_max,0.006531455
node_feat_12,0.006470307
neighbor_label3_ratio,0.0064541455
unique_edge_type_total_count,0.0064442186
neighbor_feat_11_mean,0.006419271
node_feat_9,0.0064094444
neighbor_feat_7_min,0.0063624526
log_in_degree,0.0063462504
neighbor_feat_14_mean,0.006328038
neighbor_feat_12_max,0.006268454
neighbor_feat_8_min,0.006239062
neighbor_feat_6_mean,0.0062354906
neighbor_feat_2_min,0.006228641
neighbor_feat_9_max,0.0062046032
neighbor_feat_11_min,0.006156763
neighbor_feat_2_mean,0.0061519076
node_feat_13,0.006144805
neighbor_feat_13_max,0.006110896
edge_type_8_total,0.0061038444
neighbor_feat_12_min,0.006071241
neighbor_feat_4_mean,0.006053374
node_feat_7,0.006033502
neighbor_feat_1_mean,0.006030182
node_feat_16,0.0059726895
neighbor_feat_8_max,0.005923903
known_labeled_neighbor_count,0.0058961455
neighbor_feat_3_max,0.005888102
neighbor_feat_6_min,0.0058461437
neighbor_feat_4_max,0.005828959
neighbor_label3_count,0.0058269543
neighbor_feat_13_min,0.005815423
neighbor_feat_14_max,0.00581504
edge_type_8_in,0.0057869023
unique_edge_type_in_count,0.0057856347
node_feat_14,0.00571701
neighbor_feat_3_min,0.00571421
edge_type_5_in,0.0057052975
neighbor_feat_16_min,0.0057017305
in_degree,0.0056527685
neighbor_feat_2_max,0.0056318627
neighbor_feat_5_max,0.005561412
neighbor_feat_1_max,0.0055355653
neighbor_feat_5_min,0.0055347523
edge_type_3_total,0.0055204853
neighbor_feat_0_mean,0.0054853717
edge_type_3_out,0.0054846285
neighbor_feat_1_min,0.005434087
edge_type_11_in,0.005427737
edge_type_7_out,0.005422055
neighbor_feat_6_max,0.0053990567
neighbor_feat_14_min,0.0053963414
neighbor_feat_4_min,0.0053870995
node_feat_5,0.005330557
unique_edge_type_out_count,0.0052566817
edge_type_10_in,0.0051887925
node_feat_10,0.0051372433
neighbor_feat_9_min,0.005110643
edge_type_4_in,0.0051030098
edge_type_6_total,0.0050991033
edge_type_6_in,0.004956638
neighbor_feat_15_min,0.004933529
edge_type_2_out,0.0049272403
edge_type_7_in,0.004894935
neighbor_feat_10_max,0.00487023
neighbor_feat_0_max,0.004672432
log_total_degree,0.004530355
neighbor_feat_0_min,0.004520551
neighbor_feat_10_min,0.0044033085
edge_type_7_total,0.0041709607
missing_value_count,0.004062333
edge_type_9_in,0.003939166
known_fraud_neighbor_count,0.0038905328
