feature,importance
known_normal_neighbor_ratio,0.04748452
mean_out_timestamp,0.034977727
log_out_degree,0.02577135
node_feat_2,0.02407802
known_normal_neighbor_count,0.022033218
neighbor_label2_ratio,0.016948445
edge_type_10_total,0.015726468
neighbor_feat_16_max,0.015092953
edge_type_10_out,0.015041662
edge_type_5_out,0.014889307
node_feat_0,0.012471198
timestamp_span,0.012439409
min_timestamp,0.0119497925
edge_type_11_total,0.011535914
out_degree,0.011055672
neighbor_feat_16_mean,0.010656117
edge_type_4_out,0.010520414
edge_type_9_out,0.010179366
node_feat_6,0.010068712
edge_type_9_total,0.010028023
node_feat_11,0.010014567
node_feat_15,0.010002677
edge_type_1_total,0.00999131
neighbor_feat_15_max,0.009774342
edge_type_11_out,0.009607419
max_timestamp,0.009011442
neighbor_label2_count,0.008328914
log_in_degree,0.007987566
neighbor_feat_13_mean,0.0078102485
neighbor_feat_7_mean,0.007782397
node_feat_3,0.0076997597
node_feat_8,0.0075896843
neighbor_feat_15_mean,0.007507757
node_feat_4,0.00725506
edge_type_1_out,0.0072024944
edge_type_1_in,0.007194524
neighbor_feat_7_max,0.007144254
edge_type_4_total,0.0070846067
known_fraud_neighbor_ratio,0.007075413
neighbor_feat_12_mean,0.0069699264
neighbor_feat_5_mean,0.0069174026
mean_in_timestamp,0.0067781047
neighbor_feat_9_mean,0.0067611947
mean_total_timestamp,0.0067456877
neighbor_feat_3_mean,0.006737411
node_feat_1,0.0067260982
edge_type_8_out,0.0066694375
node_feat_12,0.006650247
node_feat_9,0.006602028
edge_type_3_total,0.0065936185
edge_type_6_out,0.006526418
neighbor_label3_ratio,0.006488761
edge_type_2_in,0.0064774062
edge_type_5_total,0.006449321
neighbor_feat_10_mean,0.0064048585
neighbor_feat_6_mean,0.0063993917
neighbor_feat_9_max,0.00638564
total_degree,0.006368961
neighbor_feat_12_max,0.006365978
node_feat_16,0.006317766
neighbor_feat_2_mean,0.006307837
neighbor_feat_11_max,0.0063028643
neighbor_feat_11_mean,0.006301911
neighbor_feat_12_min,0.0062810793
neighbor_feat_8_min,0.0062757963
unique_edge_type_total_count,0.006242058
neighbor_feat_13_min,0.0062252516
neighbor_feat_14_mean,0.0061452435
neighbor_feat_11_min,0.006142998
neighbor_feat_1_mean,0.0061368467
node_feat_7,0.0060984986
neighbor_feat_13_max,0.0060831243
node_feat_13,0.0060517285
neighbor_feat_8_mean,0.0060161734
edge_type_7_out,0.005979745
neighbor_feat_8_max,0.0059631844
edge_type_2_total,0.0059269983
edge_type_8_total,0.0059125028
neighbor_feat_2_min,0.0058681536
edge_type_3_in,0.005864846
edge_type_6_total,0.005862964
neighbor_feat_7_min,0.0058457465
neighbor_feat_4_mean,0.005825149
neighbor_feat_4_max,0.00582438
neighbor_feat_3_max,0.0058202115
neighbor_feat_14_max,0.0058043585
edge_type_7_total,0.0057528927
node_feat_14,0.00575111
neighbor_feat_5_max,0.005745619
edge_type_8_in,0.005720109
neighbor_feat_0_mean,0.0057027587
neighbor_feat_3_min,0.005666266
known_labeled_neighbor_count,0.0056222808
neighbor_feat_6_max,0.0056055975
neighbor_feat_2_max,0.005573114
unique_edge_type_in_count,0.005529676
neighbor_feat_1_max,0.0054773036
neighbor_feat_16_min,0.0054540085
edge_type_3_out,0.005423257
neighbor_feat_6_min,0.0054042717
in_degree,0.0053695915
edge_type_5_in,0.0053529455
neighbor_feat_4_min,0.0053144237
neighbor_feat_5_min,0.0053040585
neighbor_feat_1_min,0.005291578
neighbor_feat_9_min,0.005260974
node_feat_5,0.005260351
neighbor_feat_14_min,0.0052270875
edge_type_11_in,0.0052263
unique_edge_type_out_count,0.00521863
neighbor_label3_count,0.005190757
edge_type_7_in,0.0051061935
edge_type_4_in,0.0050949757
edge_type_10_in,0.0049343193
neighbor_feat_15_min,0.0049290154
neighbor_feat_0_max,0.0048668156
edge_type_6_in,0.0047494033
log_total_degree,0.0047175214
neighbor_feat_10_max,0.004698577
node_feat_10,0.0046261586
edge_type_2_out,0.0045679924
known_fraud_neighbor_count,0.0042736223
neighbor_feat_0_min,0.004188672
missing_value_count,0.0041794367
neighbor_feat_10_min,0.0041728476
edge_type_9_in,0.003991498
