feature,importance
known_normal_neighbor_ratio,0.4811188
neighbor_label3_ratio,0.037873227
neighbor_feat_10_mean,0.03173719
node_feat_35,0.031376522
node_feat_38,0.029481476
known_fraud_neighbor_ratio,0.028784519
node_feat_5,0.02100904
node_feat_6,0.016886344
neighbor_feat_32_max,0.016570408
known_fraud_neighbor_count,0.015384591
neighbor_label3_count,0.014933532
neighbor_feat_23_min,0.011920535
neighbor_feat_13_max,0.011278863
known_normal_neighbor_count,0.011203919
neighbor_feat_42_min,0.009296092
known_labeled_neighbor_count,0.008588433
neighbor_feat_27_max,0.008563898
neighbor_feat_42_max,0.0066621606
neighbor_feat_50_max,0.0063819434
log_out_degree,0.0063375384
neighbor_feat_23_mean,0.0063031516
neighbor_feat_24_mean,0.005847775
node_feat_0,0.0058351685
neighbor_feat_50_mean,0.0057470915
log_in_degree,0.0056888103
neighbor_feat_2_mean,0.004501206
neighbor_feat_24_min,0.0041277935
out_degree,0.003987296
node_feat_37,0.0036970712
neighbor_feat_40_min,0.0035954074
neighbor_feat_43_max,0.00352346
neighbor_feat_5_min,0.0034939982
neighbor_feat_23_max,0.0034183303
neighbor_feat_13_mean,0.0032549116
neighbor_feat_40_max,0.0027433943
neighbor_feat_34_mean,0.0026901155
neighbor_feat_15_min,0.0026061703
neighbor_feat_20_mean,0.002532924
node_feat_7,0.002451032
neighbor_feat_25_mean,0.0024445213
node_feat_39,0.002441835
neighbor_feat_6_max,0.0023355405
neighbor_feat_20_min,0.0021430524
node_feat_4,0.0021261412
neighbor_feat_47_min,0.0021231575
neighbor_feat_51_max,0.0021099895
node_feat_16,0.002081797
neighbor_feat_20_max,0.0020109867
node_feat_50,0.0019420928
node_feat_1,0.0019228176
neighbor_feat_49_max,0.0018157274
neighbor_feat_22_max,0.0017027971
in_degree,0.0016665478
node_feat_15,0.0015680275
node_feat_2,0.0015292874
neighbor_feat_2_min,0.0013604249
neighbor_feat_3_max,0.0013242242
neighbor_feat_43_min,0.0012781284
node_feat_18,0.0012613749
mean_in_timestamp,0.0012344781
neighbor_feat_37_min,0.0012036159
