feature,importance
node_feat_5,0.21555874
neighbor_feat_49_max,0.14781205
neighbor_feat_37_max,0.07369171
edge_type_1_out,0.05223375
node_feat_34,0.04873119
node_feat_4,0.04244454
neighbor_feat_21_min,0.032503907
neighbor_feat_22_min,0.030430311
log_out_degree,0.028733563
neighbor_label3_count,0.024999047
out_degree,0.018200437
neighbor_feat_42_mean,0.011512319
neighbor_feat_42_max,0.008385724
neighbor_feat_19_min,0.0076663443
node_feat_13,0.006446465
neighbor_feat_50_min,0.005356007
neighbor_feat_12_min,0.0052883495
neighbor_feat_34_min,0.005129008
neighbor_feat_50_max,0.0051041082
neighbor_feat_22_mean,0.0050745234
node_feat_29,0.0049844496
neighbor_feat_20_min,0.004941937
neighbor_feat_19_mean,0.004839643
neighbor_feat_50_mean,0.0044030384
node_feat_7,0.004059035
neighbor_feat_13_max,0.00379501
neighbor_feat_2_min,0.0037946282
neighbor_feat_33_max,0.0037323616
neighbor_feat_11_mean,0.0036299224
neighbor_feat_22_max,0.003249549
neighbor_feat_4_min,0.0032423793
neighbor_feat_11_min,0.003216178
node_feat_47,0.0031399287
neighbor_feat_31_max,0.0031358688
neighbor_feat_52_max,0.0027947007
neighbor_label3_ratio,0.0026231958
node_feat_1,0.0025832944
neighbor_feat_14_min,0.002357156
neighbor_feat_26_min,0.002194017
neighbor_feat_9_max,0.0021406848
node_feat_31,0.0021333047
neighbor_feat_9_min,0.0021005145
neighbor_feat_37_mean,0.0020732852
node_feat_12,0.0020305314
neighbor_feat_12_max,0.0020156999
node_feat_36,0.0019382286
neighbor_feat_27_min,0.0019378815
node_feat_25,0.0018901404
node_feat_17,0.001814558
neighbor_feat_46_max,0.0018120297
neighbor_feat_46_mean,0.0017916736
neighbor_feat_35_min,0.0017570952
node_feat_10,0.0017374427
neighbor_feat_24_max,0.0017048388
neighbor_feat_43_mean,0.0016811923
node_feat_28,0.001581125
neighbor_feat_1_mean,0.0015679355
node_feat_9,0.0014501135
neighbor_feat_37_min,0.0014464097
neighbor_feat_47_min,0.001439745
neighbor_feat_21_mean,0.0013888096
neighbor_feat_10_max,0.0013867437
neighbor_feat_40_max,0.0013753014
neighbor_feat_8_max,0.0013504251
neighbor_feat_29_min,0.0013500185
node_feat_11,0.0013371815
neighbor_feat_2_max,0.0013125329
neighbor_feat_0_max,0.0012995292
neighbor_feat_52_mean,0.0012969188
neighbor_feat_53_mean,0.0012890237
neighbor_feat_36_max,0.0012876387
neighbor_feat_25_max,0.0012863767
neighbor_feat_27_max,0.0012798534
neighbor_feat_47_mean,0.001279627
neighbor_feat_5_mean,0.0012779464
neighbor_feat_31_mean,0.0012727323
neighbor_feat_33_min,0.00125079
neighbor_feat_16_max,0.0012335462
neighbor_feat_41_max,0.0012295798
node_feat_15,0.001218557
neighbor_feat_5_min,0.0012162471
neighbor_feat_7_max,0.0012027371
node_feat_48,0.0012016048
neighbor_feat_2_mean,0.0011983291
neighbor_feat_13_mean,0.0011922024
node_feat_18,0.0011699332
neighbor_feat_28_min,0.0011420964
neighbor_feat_31_min,0.001117229
neighbor_feat_49_mean,0.0011122465
neighbor_feat_3_mean,0.0011120602
node_feat_6,0.0011109166
node_feat_45,0.0011023235
node_feat_2,0.0010675323
neighbor_feat_28_mean,0.0010657863
node_feat_0,0.0010534024
neighbor_feat_42_min,0.0010411156
node_feat_16,0.0010384304
neighbor_feat_30_min,0.0010248891
neighbor_feat_20_max,0.001015988
neighbor_feat_21_max,0.0010112773
neighbor_feat_29_max,0.0010085397
neighbor_feat_44_mean,0.0010014131
neighbor_feat_1_max,0.0009891542
neighbor_feat_45_mean,0.0009875351
node_feat_14,0.0009767272
neighbor_feat_19_max,0.00094762683
neighbor_feat_26_max,0.00094712805
neighbor_feat_5_max,0.0009422783
neighbor_feat_53_max,0.00093464437
neighbor_feat_18_min,0.00093018095
neighbor_feat_25_min,0.00092971657
neighbor_feat_23_min,0.00092751376
node_feat_26,0.00092301023
neighbor_feat_33_mean,0.00090697483
neighbor_feat_17_min,0.0008951729
neighbor_feat_39_max,0.0008883797
neighbor_feat_6_max,0.0008702002
neighbor_feat_24_mean,0.00086916226
neighbor_feat_3_min,0.0008642052
neighbor_feat_44_max,0.0008595885
neighbor_feat_28_max,0.0008579807
neighbor_feat_16_min,0.0008567047
neighbor_feat_17_max,0.0008410459
neighbor_feat_30_max,0.0008156371
neighbor_feat_20_mean,0.0008138111
neighbor_feat_45_min,0.00079429545
neighbor_feat_6_min,0.00078467815
node_feat_3,0.0007794017
neighbor_feat_32_min,0.0007764987
neighbor_feat_45_max,0.0007691384
neighbor_feat_13_min,0.0007688908
neighbor_feat_48_mean,0.00075060397
neighbor_feat_23_mean,0.00074695
node_feat_24,0.00074522675
neighbor_feat_27_mean,0.00074242323
node_feat_32,0.00073959003
node_feat_23,0.0007380542
neighbor_feat_29_mean,0.00072884077
node_feat_27,0.0007283438
node_feat_21,0.000721612
neighbor_feat_30_mean,0.0007155324
neighbor_feat_40_min,0.00071124063
neighbor_feat_43_max,0.0007085662
neighbor_feat_36_mean,0.0006876461
neighbor_feat_16_mean,0.00067829125
neighbor_feat_10_min,0.00066006905
neighbor_feat_47_max,0.00065712776
