feature,importance
V258,0.23802531
V70,0.06688091
V91,0.043437604
V294,0.038742546
V201,0.020359892
V322,0.01274636
C14,0.009612258
C8,0.008413505
V317,0.0069592777
V283,0.0068945587
V187,0.0062476094
V324,0.0061057764
V257,0.006022769
V312,0.005112505
addr2,0.004775658
C3,0.004463217
card6,0.0043682167
V308,0.004130346
M4,0.0039896388
V141,0.003692369
ProductCD,0.0036231396
V162,0.003562126
V72,0.0034426001
id_17,0.0033459966
C10,0.0032900374
V295,0.0032663096
D2,0.0031920355
C11,0.0030910345
V160,0.0030695032
V336,0.0030563495
V71,0.0030035495
V156,0.0029733793
V90,0.0029424147
V49,0.0029351043
V320,0.0029224232
V287,0.0028322986
card3,0.002811205
C4,0.002603662
C5,0.0025763286
V197,0.0025442012
C1,0.002534281
V309,0.0025266067
V121,0.0024495795
V285,0.002436665
V339,0.0024353503
C13,0.0024157383
V30,0.002409042
V145,0.0023776605
V76,0.0023737112
V286,0.002335633
V296,0.002335534
V45,0.002319508
R_emaildomain,0.002275797
V333,0.002254008
V159,0.0022438704
V62,0.0021609575
V172,0.0021490427
V315,0.0021485714
V129,0.002144146
C6,0.0021437693
V48,0.0021361955
V335,0.0020905135
V83,0.0020897142
M5,0.0020637768
V128,0.002056974
V54,0.002040248
D15,0.002012787
D1,0.0020041035
M6,0.001990911
V20,0.0019815848
V281,0.001938733
V311,0.0019347168
V34,0.0019326182
C2,0.001927991
V192,0.0019230474
V87,0.0019209228
D3,0.0018964526
V109,0.0018827461
V1,0.0018802317
id_32,0.0018653884
V122,0.0018643781
V12,0.0018624485
C9,0.0018570218
V310,0.0018545651
V82,0.0018522352
V53,0.001845151
V163,0.0018401312
V165,0.0018349407
V209,0.0018268783
V185,0.0018221936
V338,0.0018055107
M3,0.0017995185
V99,0.0017949792
V56,0.0017674038
D4,0.0017617587
V55,0.0017584948
V136,0.0017481566
V75,0.0017242074
V226,0.0016941119
V337,0.0016924822
id_34,0.0016828121
V137,0.0016796616
V164,0.0016744278
V35,0.0016605915
id_30,0.001655933
D10,0.0016526694
V64,0.0016511342
V271,0.0016509233
P_emaildomain,0.0016402602
V67,0.0016378624
V210,0.001637806
V298,0.0016308856
V102,0.0016268311
C12,0.001626468
card2,0.0016230607
V251,0.0016219494
card5,0.0016180306
V314,0.0016092287
id_14,0.0015936281
id_36,0.0015910421
V131,0.0015800043
id_03,0.001567668
card1,0.0015649492
V36,0.0015609146
id_09,0.0015492934
V21,0.0015440455
TransactionAmt,0.0015347459
dist1,0.0015296648
M9,0.0015273972
addr1,0.001524546
V33,0.001514525
D11,0.0015133522
V63,0.001500012
V4,0.0014900762
V299,0.0014847129
V94,0.0014827575
V300,0.0014708344
V152,0.0014570913
V26,0.0014548379
V206,0.0014511963
V124,0.0014495407
V73,0.0014474583
V161,0.0014454712
V61,0.0014443187
D5,0.0014425312
V25,0.0014350669
DeviceType,0.0014326385
V6,0.0014324606
V138,0.001425181
V7,0.001419969
V325,0.0014112801
TransactionDT,0.0014035993
V38,0.0014035504
V19,0.0013968253
V13,0.0013957839
V11,0.0013948211
V69,0.0013941809
V143,0.0013882782
V313,0.001386153
V51,0.0013707438
V106,0.0013693394
V95,0.0013669005
V92,0.0013657416
V225,0.0013611253
V282,0.0013596519
V244,0.0013410585
id_38,0.0013339865
V24,0.0013278895
id_01,0.0013278187
V66,0.00132732
V332,0.0013260087
V23,0.0013243892
D13,0.0013173803
id_04,0.0013172855
V301,0.0013076013
M1,0.0013012268
V81,0.0012984743
V78,0.0012826377
V182,0.0012809382
card4,0.0012801194
V319,0.00127463
V52,0.0012727891
V252,0.0012689382
V207,0.0012688615
V115,0.0012683251
V306,0.001264038
id_23,0.0012640085
M8,0.001261533
V149,0.0012612857
V191,0.0012608877
V133,0.0012580001
V10,0.0012451005
V29,0.001242267
V328,0.0012376108
V289,0.0012345434
V321,0.0012281407
M7,0.001224905
V37,0.0012201016
V189,0.0012192117
V291,0.0012178348
V5,0.0012080058
V9,0.0012024529
V86,0.0012022111
V326,0.0011924154
V330,0.0011863444
V130,0.0011842147
V307,0.0011831227
M2,0.0011806997
V116,0.0011801688
D8,0.001175693
id_28,0.0011603901
V151,0.0011472836
V288,0.0011447221
V15,0.0011425817
V50,0.00114223
V175,0.0011144311
V2,0.0011130546
V183,0.0011038036
id_33,0.0011038001
D6,0.001101474
V77,0.0010985386
V60,0.0010983137
id_12,0.0010974943
DeviceInfo,0.0010973187
V266,0.0010967248
V323,0.0010960796
id_29,0.0010913687
V96,0.0010901213
V245,0.0010860261
V184,0.0010820143
V74,0.0010809666
V292,0.0010784137
id_15,0.0010684334
V14,0.0010588269
V233,0.0010587908
V234,0.0010467715
V228,0.001046768
id_06,0.001046426
V262,0.0010459068
V97,0.0010352809
V84,0.0010313799
V170,0.001028754
V231,0.0010227817
V8,0.0010144507
id_13,0.0010016165
V22,0.0009993667
V114,0.0009946849
V153,0.000992254
V31,0.00098875
id_31,0.00098633
V173,0.0009862088
V261,0.0009855205
D7,0.0009829075
V93,0.0009805538
V100,0.0009794063
V47,0.000979047
V220,0.0009771443
V39,0.0009763566
id_18,0.0009756986
V177,0.00096542115
V134,0.00096351985
V144,0.00096016953
V279,0.00095828844
V167,0.00095781335
id_25,0.00095448835
V318,0.00095235015
id_20,0.0009513599
V303,0.00095020566
id_02,0.00094820664
V293,0.00094021665
V140,0.0009320967
V79,0.0009314738
V224,0.00093079795
V85,0.0009284838
id_07,0.0009266326
V135,0.0009248484
V3,0.0009247194
V217,0.0009233259
V196,0.00090765295
id_11,0.0009070981
V297,0.0009039733
V127,0.00089982105
V166,0.00089624344
V205,0.00089035364
id_16,0.00088762207
V59,0.00087878044
V44,0.0008757768
dist2,0.00087097567
V40,0.0008650331
V180,0.0008626135
id_19,0.00086103077
V329,0.00085885264
id_21,0.00085720397
V280,0.0008543169
V302,0.0008470014
V316,0.0008460298
V110,0.0008414073
V243,0.000840386
D14,0.0008394087
id_37,0.00083849375
V112,0.0008383067
V290,0.0008352817
V260,0.0008239029
D12,0.0008220425
V57,0.0008036392
V43,0.00080269587
V150,0.00080151414
V120,0.0008008773
V267,0.00079931313
id_05,0.00079595123
V103,0.00079262676
V327,0.0007912758
V176,0.0007855699
V108,0.00078062515
V223,0.00077919045
V46,0.0007789093
V105,0.0007747451
id_10,0.0007735289
V32,0.00077313586
V195,0.0007712042
V42,0.0007681713
V235,0.0007663054
V132,0.000760825
V126,0.000752535
V125,0.0007486543
V117,0.00074358314
V248,0.00073547114
V278,0.0007345475
V139,0.00073097675
V216,0.00072953536
V265,0.00072775874
V272,0.00072199357
V219,0.000721731
V331,0.0007215049
V227,0.00071457715
V98,0.0007091604
V222,0.0007046022
V276,0.0007012992
V148,0.0006989973
C7,0.00069601915
V256,0.00069598795
V80,0.0006942729
V104,0.0006818181
D9,0.0006788169
V58,0.0006705802
V188,0.0006700911
V208,0.00066274236
V190,0.00066271174
V169,0.00065315503
V123,0.0006511361
V275,0.0006466336
V274,0.0006452897
V212,0.00064475014
V259,0.0006395468
V17,0.00063734467
V158,0.00062901445
V146,0.00062840665
V215,0.00062637444
id_24,0.00062087155
V255,0.00061602035
V171,0.0006143653
V221,0.0006090407
V204,0.0006078423
id_08,0.00060738577
V16,0.00060118927
V168,0.000600793
V147,0.0005922393
V213,0.0005844012
V304,0.00058159936
V203,0.0005752165
V270,0.00057013053
V174,0.0005682813
V284,0.0005630842
V268,0.00055007805
id_26,0.0005457458
V254,0.0005411263
V237,0.0005364648
V253,0.0005240826
V238,0.0005090997
V239,0.0005041385
V263,0.0005022066
V18,0.0005003048
V246,0.00050017127
V155,0.0004979135
V230,0.0004964883
V181,0.0004964348
V277,0.0004956388
V242,0.00048136018
V229,0.00047803644
V269,0.0004723374
V194,0.0004653992
V200,0.00046032175
V211,0.00045537483
V214,0.00045429217
V240,0.000447389
V334,0.0004436654
V247,0.00044322218
V179,0.00043845168
V101,0.00043735365
V249,0.00043727874
V202,0.00043526612
V88,0.0004331301
V118,0.0004304155
V273,0.00042958424
V232,0.00041863866
V193,0.00041813843
V218,0.00040402086
V157,0.0003919264
id_22,0.00039138188
V178,0.00037317365
V264,0.00037098813
V198,0.000367678
V199,0.00036427367
V111,0.0003638603
V250,0.00033418584
V154,0.0003152388
V142,0.00030218967
V236,0.000293787
V186,0.00025973964
V113,0.00024871313
V119,0.00024359745
V107,0.00022489994
V241,0.00021238503
id-25,0.0
id-23,0.0
id-22,0.0
id-21,0.0
id-20,0.0
id-19,0.0
id-18,0.0
id-17,0.0
id-24,0.0
id-28,0.0
id-29,0.0
id-26,0.0
id-27,0.0
id_27,0.0
id-10,0.0
V28,0.0
V68,0.0
V305,0.0
V27,0.0
V89,0.0
V41,0.0
V65,0.0
id_35,0.0
id-03,0.0
id-02,0.0
id-01,0.0
id-07,0.0
id-08,0.0
id-09,0.0
id-06,0.0
id-04,0.0
id-31,0.0
id-30,0.0
id-32,0.0
id-05,0.0
id-11,0.0
id-12,0.0
id-13,0.0
id-14,0.0
id-15,0.0
id-16,0.0
id-33,0.0
id-34,0.0
id-35,0.0
id-36,0.0
id-37,0.0
id-38,0.0
