feature,importance
mean_out_timestamp,0.050704375
known_normal_neighbor_ratio,0.027803283
edge_type_5_out,0.023351267
node_feat_2,0.017661432
edge_type_4_out,0.016075619
log_out_degree,0.015770933
edge_type_1_out,0.014853435
unique_edge_type_out_count,0.014561586
node_feat_6,0.014221055
edge_type_10_out,0.01356428
neighbor_label2_ratio,0.012282693
node_feat_0,0.011840906
node_feat_8,0.0117109325
edge_type_10_total,0.011500768
edge_type_6_out,0.01110258
neighbor_feat_16_max,0.010551538
min_timestamp,0.010427006
neighbor_feat_16_mean,0.00943894
node_feat_3,0.009403126
edge_type_1_total,0.009203837
known_normal_neighbor_count,0.009002688
node_feat_15,0.0089875255
edge_type_7_total,0.008927188
edge_type_10_in,0.008444681
timestamp_span,0.008420583
neighbor_feat_15_max,0.008271149
max_timestamp,0.008093277
node_feat_11,0.008087755
neighbor_label3_ratio,0.008047083
edge_type_9_out,0.008010886
edge_type_11_total,0.007996453
known_labeled_neighbor_count,0.007931769
node_feat_4,0.007911826
edge_type_11_out,0.007905734
edge_type_1_in,0.0076023196
log_total_degree,0.007582966
edge_type_7_out,0.0075768926
neighbor_feat_5_mean,0.0075658085
unique_edge_type_total_count,0.0074437284
neighbor_feat_15_mean,0.0074007655
node_feat_12,0.0073920256
neighbor_feat_3_mean,0.007337857
node_feat_9,0.0071611227
known_fraud_neighbor_ratio,0.007100412
edge_type_5_total,0.0070995926
neighbor_feat_14_mean,0.0070497645
edge_type_7_in,0.00696874
neighbor_feat_7_mean,0.0069593564
node_feat_1,0.0069457646
neighbor_feat_12_mean,0.0068857316
neighbor_feat_13_mean,0.006872181
neighbor_feat_8_mean,0.0068567162
neighbor_feat_9_mean,0.006842237
neighbor_feat_12_max,0.0068381466
neighbor_feat_3_max,0.0067033535
mean_total_timestamp,0.0066821096
edge_type_2_total,0.0066680573
neighbor_feat_7_max,0.0066634635
edge_type_9_total,0.00665397
neighbor_feat_11_mean,0.00664645
neighbor_feat_1_max,0.0066223717
neighbor_feat_11_max,0.0066204583
neighbor_label2_count,0.0066180374
neighbor_feat_10_mean,0.006597256
edge_type_5_in,0.0065729786
neighbor_feat_6_mean,0.0065688374
node_feat_13,0.0065577296
mean_in_timestamp,0.006539065
neighbor_feat_12_min,0.0065377606
edge_type_4_total,0.0064985626
neighbor_feat_4_mean,0.0064271563
neighbor_feat_1_mean,0.006368657
node_feat_16,0.0063497056
neighbor_feat_8_max,0.0063487333
edge_type_3_out,0.0063269543
neighbor_feat_9_min,0.0063262726
log_in_degree,0.00629942
neighbor_feat_13_max,0.0062992354
edge_type_3_total,0.0062725325
node_feat_7,0.0062663434
neighbor_feat_2_mean,0.0062375306
neighbor_feat_14_min,0.0062088873
neighbor_feat_0_mean,0.006197476
node_feat_14,0.0061726877
neighbor_feat_9_max,0.006144465
edge_type_11_in,0.0061412775
neighbor_feat_14_max,0.0061142445
neighbor_feat_15_min,0.006100546
edge_type_6_total,0.006072813
neighbor_feat_0_min,0.0060637305
neighbor_feat_8_min,0.006055603
neighbor_feat_5_min,0.0060509425
neighbor_feat_3_min,0.0060252114
neighbor_feat_7_min,0.0060220878
neighbor_feat_4_max,0.0060126744
neighbor_feat_6_min,0.0059380666
edge_type_8_out,0.0059058117
neighbor_label3_count,0.0058788424
edge_type_8_in,0.005844548
neighbor_feat_11_min,0.005844538
neighbor_feat_13_min,0.005825286
in_degree,0.005820662
neighbor_feat_4_min,0.005737268
neighbor_feat_2_max,0.0057260855
neighbor_feat_2_min,0.0057213693
neighbor_feat_16_min,0.0057154065
neighbor_feat_0_max,0.0057067596
total_degree,0.0056455876
neighbor_feat_5_max,0.0056110257
neighbor_feat_6_max,0.0055836514
neighbor_feat_10_max,0.0055205473
known_fraud_neighbor_count,0.0054987436
neighbor_feat_10_min,0.005454097
unique_edge_type_in_count,0.0054448624
neighbor_feat_1_min,0.005389544
edge_type_6_in,0.005173155
edge_type_4_in,0.005088143
node_feat_5,0.0050749234
edge_type_9_in,0.005056844
edge_type_8_total,0.005027133
node_feat_10,0.004988476
edge_type_3_in,0.004728808
edge_type_2_out,0.004450387
edge_type_2_in,0.0042797653
missing_value_count,0.0033918803
out_degree,0.0027218868
