event_id,timestamp,src_node,dst_node,edge_type,channel,amount,device_fingerprint,risk_score,risk_level,action,focus_node,src_node_score,dst_node_score,is_fraud_edge,explanation
0,1,2214697,2063663,9,wallet,20.76,dev_970140,0.6293653837345478,medium,step_up_verification,2214697,0.6293601937345478,0.0186328649983838,0,degree=1; dominant_edge_type=9; dominant_share=1.00; time_span=0
1,1,1331089,1473514,10,bank_app,31.34,dev_371502,0.8525121306996174,critical,freeze_and_manual_review,1331089,0.8525042956996174,0.08506701457361515,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
2,1,697749,1958785,9,wallet,19.19,dev_728643,0.07355407343518063,low,pass,697749,0.07354927593518062,0.053689272306502514,0,degree=3; dominant_edge_type=9; dominant_share=0.67; time_span=367
3,1,69746,2298721,10,bank_app,19.1,dev_456651,0.5713415718904796,medium,step_up_verification,2298721,0.09623012545854852,0.5713367968904797,0,degree=3; dominant_edge_type=10; dominant_share=0.67; time_span=258
4,1,1585296,1460109,10,bank_app,36.5,dev_719800,0.42254818869194993,medium,step_up_verification,1585296,0.42253906369194993,0.026301771246800793,0,degree=2; dominant_edge_type=10; dominant_share=1.00; time_span=24
5,1,1474803,1145661,10,bank_app,17.92,dev_419379,0.8187131637800447,high,manual_review,1145661,0.5405630836402998,0.8187086837800447,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
6,1,1166209,1596341,10,bank_app,30.07,dev_695292,0.6300558540596765,medium,step_up_verification,1596341,0.48257917101553205,0.6300483365596764,0,degree=2; dominant_edge_type=10; dominant_share=1.00; time_span=26
7,1,1719833,752934,10,bank_app,102.87,dev_665798,0.10311730194389242,low,pass,1719833,0.10309158444389242,0.024497224677529038,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
8,2,1542726,118549,10,qr_pay,21.02,dev_516122,0.8442428803259558,high,manual_review,118549,0.19071147898724083,0.8442376253259558,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
9,2,1245632,776265,10,qr_pay,70.91,dev_914602,0.01135471083937833,low,pass,776265,0.0009645489575873237,0.01133698333937833,0,degree=2; dominant_edge_type=5; dominant_share=0.50; time_span=477
10,2,503132,557776,11,web,43.97,dev_999867,0.025255201492764962,low,pass,557776,0.012560243183489424,0.02524420899276496,0,degree=2; dominant_edge_type=11; dominant_share=1.00; time_span=266
11,2,2137178,2288079,10,qr_pay,6.55,dev_375917,0.12785978117960095,low,pass,2137178,0.12785814367960094,0.07900364831118518,0,degree=2; dominant_edge_type=9; dominant_share=0.50; time_span=13
12,2,1692068,1766029,9,bank_app,12.53,dev_072396,0.7550948253990192,high,manual_review,1692068,0.7550916928990192,0.07848387151209164,0,degree=2; dominant_edge_type=9; dominant_share=0.50; time_span=359
13,3,1711365,1705579,9,qr_pay,15.95,dev_760019,0.7465921120739485,high,manual_review,1705579,0.09838365427390283,0.7465881245739485,0,degree=2; dominant_edge_type=9; dominant_share=0.50; time_span=8
14,3,1678669,1613617,9,qr_pay,15.65,dev_459261,0.1937632865781189,low,pass,1613617,0.020091046826620086,0.19375937407811888,0,degree=2; dominant_edge_type=4; dominant_share=0.50; time_span=386
15,3,36132,1708939,10,web,22.62,dev_368981,0.0013053977900379628,low,pass,1708939,0.0011575863399799745,0.0012997427900379628,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
16,3,1964684,1130037,10,web,42.66,dev_254702,0.4559631809155436,medium,step_up_verification,1130037,0.30654493792849813,0.4559525159155436,0,degree=4; dominant_edge_type=10; dominant_share=0.50; time_span=180
17,3,2187152,276636,9,qr_pay,104.55,dev_971259,0.007712973073426624,low,pass,2187152,0.007686835573426624,0.007150351536554125,0,degree=1; dominant_edge_type=9; dominant_share=1.00; time_span=0
18,4,2108440,2108284,10,merchant_api,32.37,dev_538759,0.716947142296996,high,manual_review,2108284,0.2793053754325832,0.716939049796996,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
19,4,1721532,544189,10,merchant_api,16.43,dev_551538,0.8027761132285801,high,manual_review,1721532,0.8027720057285801,0.6662745734382384,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
20,4,1665794,1939423,10,merchant_api,3.77,dev_476186,0.8204147031558218,high,manual_review,1939423,0.783282971371598,0.8204137606558217,0,degree=5; dominant_edge_type=10; dominant_share=1.00; time_span=256
21,4,1007483,1254797,10,merchant_api,26.14,dev_628633,0.8357918797878315,high,manual_review,1007483,0.8357853447878315,0.7014342358523075,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
22,4,2035321,482893,9,web,34.58,dev_578437,0.8412334927444033,high,manual_review,482893,0.5253579210188484,0.8412248477444033,0,degree=1; dominant_edge_type=9; dominant_share=1.00; time_span=0
23,4,1835052,29823,10,merchant_api,28.92,dev_348534,0.20139499697503965,low,pass,1835052,0.20138776697503966,0.17438990307510074,0,degree=2; dominant_edge_type=10; dominant_share=1.00; time_span=9
24,5,1227045,354889,10,wallet,163.3,dev_339343,0.08682148227140529,low,pass,354889,0.009239635907407224,0.0867806572714053,0,degree=2; dominant_edge_type=10; dominant_share=1.00; time_span=10
25,5,1988516,2121679,9,merchant_api,103.19,dev_037582,0.7441940961814634,high,manual_review,2121679,0.22492103701899868,0.7441682986814634,0,degree=1; dominant_edge_type=9; dominant_share=1.00; time_span=0
26,5,1813202,2012111,10,wallet,49.73,dev_399020,0.8824458952120092,critical,freeze_and_manual_review,2012111,0.5609361958665832,0.8824334627120092,0,degree=1; dominant_edge_type=10; dominant_share=1.00; time_span=0
27,5,1063377,2213518,11,bank_app,11.18,dev_792577,0.04314244100045791,low,pass,2213518,0.004317661312083814,0.04313964600045791,0,degree=12; dominant_edge_type=11; dominant_share=0.92; time_span=751
28,5,1779888,2110710,10,wallet,15.46,dev_120727,0.007419996992675288,low,pass,2110710,0.0003678747117491826,0.007416131992675289,0,degree=2; dominant_edge_type=10; dominant_share=1.00; time_span=267
29,5,653689,464145,9,merchant_api,31.02,dev_503044,0.051428643398033116,low,pass,653689,0.05142088839803312,0.019944239056728857,0,degree=2; dominant_edge_type=9; dominant_share=0.50; time_span=5
30,5,498252,669436,10,wallet,12.21,dev_464873,0.656323429205979,high,manual_review,669436,0.387802447904657,0.656320376705979,0,degree=4; dominant_edge_type=10; dominant_share=1.00; time_span=745
31,5,726989,1953612,9,merchant_api,53.01,dev_500055,0.8932961045894448,critical,freeze_and_manual_review,726989,0.8932828520894448,0.40190281918757664,0,degree=1; dominant_edge_type=9; dominant_share=1.00; time_span=0
32,5,1718885,2016713,10,wallet,33.83,dev_309719,0.772902820510517,high,manual_review,2016713,0.12529441472711056,0.772894363010517,0,degree=6; dominant_edge_type=10; dominant_share=1.00; time_span=358
33,6,1224877,1262560,9,wallet,12.69,dev_436920,0.16688170898147275,low,pass,1262560,0.016749764787630978,0.16687853648147274,0,degree=2; dominant_edge_type=9; dominant_share=1.00; time_span=2
34,6,421126,853749,9,wallet,99.2,dev_944773,0.026065328592147625,low,pass,421126,0.026040528592147626,0.01303699601706172,0,degree=3; dominant_edge_type=5; dominant_share=0.33; time_span=238
35,6,1681799,1781278,9,wallet,37.04,dev_941863,0.3691308497758762,medium,step_up_verification,1681799,0.36912158977587617,0.013200716674437145,0,degree=1; dominant_edge_type=9; dominant_share=1.00; time_span=0
