event_id,timestamp,src_node,dst_node,edge_type,channel,amount,device_fingerprint,src_label,dst_label,is_fraud_edge
0,1,2214697,2063663,9,wallet,20.76,dev_970140,3,3,0
1,1,1331089,1473514,10,bank_app,31.34,dev_371502,3,3,0
2,1,697749,1958785,9,wallet,19.19,dev_728643,3,2,0
3,1,69746,2298721,10,bank_app,19.1,dev_456651,0,2,0
4,1,1585296,1460109,10,bank_app,36.5,dev_719800,2,3,0
5,1,1474803,1145661,10,bank_app,17.92,dev_419379,0,3,0
6,1,1166209,1596341,10,bank_app,30.07,dev_695292,3,2,0
7,1,1719833,752934,10,bank_app,102.87,dev_665798,2,2,0
8,2,1542726,118549,10,qr_pay,21.02,dev_516122,0,3,0
9,2,1245632,776265,10,qr_pay,70.91,dev_914602,3,3,0
10,2,503132,557776,11,web,43.97,dev_999867,0,2,0
11,2,2137178,2288079,10,qr_pay,6.55,dev_375917,2,2,0
12,2,1692068,1766029,9,bank_app,12.53,dev_072396,3,2,0
13,3,1711365,1705579,9,qr_pay,15.95,dev_760019,2,0,0
14,3,1678669,1613617,9,qr_pay,15.65,dev_459261,2,3,0
15,3,36132,1708939,10,web,22.62,dev_368981,0,2,0
16,3,1964684,1130037,10,web,42.66,dev_254702,2,3,0
17,3,2187152,276636,9,qr_pay,104.55,dev_971259,2,0,0
18,4,2108440,2108284,10,merchant_api,32.37,dev_538759,0,2,0
19,4,1721532,544189,10,merchant_api,16.43,dev_551538,0,3,0
20,4,1665794,1939423,10,merchant_api,3.77,dev_476186,2,3,0
21,4,1007483,1254797,10,merchant_api,26.14,dev_628633,3,3,0
22,4,2035321,482893,9,web,34.58,dev_578437,0,3,0
23,4,1835052,29823,10,merchant_api,28.92,dev_348534,2,2,0
24,5,1227045,354889,10,wallet,163.3,dev_339343,0,2,0
25,5,1988516,2121679,9,merchant_api,103.19,dev_037582,2,0,0
26,5,1813202,2012111,10,wallet,49.73,dev_399020,2,2,0
27,5,1063377,2213518,11,bank_app,11.18,dev_792577,0,0,0
28,5,1779888,2110710,10,wallet,15.46,dev_120727,0,2,0
29,5,653689,464145,9,merchant_api,31.02,dev_503044,0,2,0
30,5,498252,669436,10,wallet,12.21,dev_464873,0,3,0
31,5,726989,1953612,9,merchant_api,53.01,dev_500055,0,2,0
32,5,1718885,2016713,10,wallet,33.83,dev_309719,2,2,0
33,6,1224877,1262560,9,wallet,12.69,dev_436920,2,3,0
34,6,421126,853749,9,wallet,99.2,dev_944773,0,0,0
35,6,1681799,1781278,9,wallet,37.04,dev_941863,0,0,0
36,6,1622482,1003691,9,wallet,7.13,dev_950311,0,3,0
37,6,2010802,1924009,10,bank_app,23.42,dev_597237,2,3,0
38,6,2252577,1189701,10,bank_app,31.6,dev_286589,2,2,0
39,7,1448951,1569953,10,qr_pay,58.88,dev_639693,2,3,0
40,7,2155826,1996427,10,qr_pay,18.11,dev_818748,2,2,0
41,7,2095266,1359521,11,web,55.99,dev_821691,2,0,0
42,7,1816440,144422,11,web,31.45,dev_155413,0,3,0
43,7,2066269,1111954,9,bank_app,10.34,dev_506620,2,0,0
44,8,1445211,1807341,9,qr_pay,9.45,dev_015816,0,2,0
45,8,318626,1823596,10,web,67.38,dev_891067,0,2,0
46,8,1412486,1782490,10,web,71.98,dev_468739,3,3,0
47,8,883400,889517,10,web,32.81,dev_193863,2,2,0
48,8,1387038,1063083,10,web,94.27,dev_534122,2,2,0
49,8,1966864,1351263,10,web,63.49,dev_755491,2,2,0
50,8,847674,1423751,10,web,45.39,dev_618893,0,3,0
51,8,497767,978805,9,qr_pay,14.88,dev_133665,2,3,0
52,9,2081851,1531062,10,merchant_api,116.55,dev_842710,2,2,0
53,9,1258822,1629738,11,wallet,43.06,dev_050204,3,3,0
54,9,1898280,560738,10,merchant_api,17.34,dev_103833,2,2,0
55,9,2032133,1168508,11,wallet,14.56,dev_262510,2,3,0
56,9,2265511,531766,9,web,42.57,dev_019764,2,2,0
57,10,1271713,957440,10,wallet,5.45,dev_266293,0,0,0
58,10,215377,2323922,10,wallet,46.05,dev_271973,3,0,0
59,10,1190207,1799765,10,wallet,10.4,dev_331827,1,0,1
60,10,1761106,7383,10,wallet,34.25,dev_855103,0,3,0
61,10,2048102,353214,10,wallet,15.34,dev_767786,2,0,0
62,11,868673,1818404,11,qr_pay,20.95,dev_110818,3,3,0
63,11,2182927,1423853,10,bank_app,12.41,dev_433380,2,3,0
64,11,1971607,1970548,11,qr_pay,22.99,dev_357278,2,2,0
65,11,2143424,1760032,10,bank_app,134.35,dev_174822,2,3,0
66,11,1052044,450920,10,bank_app,85.33,dev_932385,0,2,0
67,12,1015894,130534,11,web,36.56,dev_807894,3,2,0
68,12,855088,2005395,10,qr_pay,23.98,dev_212553,3,3,0
69,12,1821418,651005,10,qr_pay,52.45,dev_790466,0,2,0
70,12,1984080,1346761,10,qr_pay,67.83,dev_923137,2,2,0
71,13,2108017,2003442,10,web,11.63,dev_725470,0,0,0
72,13,1806515,371960,10,web,22.88,dev_242112,0,2,0
73,13,2275418,1944845,10,web,4.76,dev_580128,2,2,0
74,13,346061,1233812,11,merchant_api,73.02,dev_375316,0,2,0
75,13,1875955,1614707,10,web,157.36,dev_922587,3,3,0
76,13,2069380,1261112,10,web,26.37,dev_468837,2,2,0
77,13,1690098,1206774,10,web,3.62,dev_729956,2,2,0
78,14,1952220,1749684,10,merchant_api,42.44,dev_385884,2,2,0
79,14,1912905,568804,10,merchant_api,10.87,dev_704541,2,2,0
80,14,5936,640540,10,merchant_api,13.5,dev_461064,0,2,0
81,14,486579,556082,10,merchant_api,43.12,dev_634094,3,3,0
82,14,1357403,1789244,10,merchant_api,30.85,dev_896739,0,3,0
83,15,1755618,1698786,10,wallet,15.81,dev_429870,0,2,0
84,15,740388,195418,10,wallet,13.67,dev_229152,2,2,0
85,15,1814618,24391,10,wallet,27.47,dev_991840,3,3,0
86,15,1738890,1093,11,bank_app,18.38,dev_070894,0,2,0
87,15,1759924,210979,10,wallet,9.04,dev_360689,2,3,0
88,15,2020830,1496618,10,wallet,18.19,dev_109751,0,2,0
89,16,590574,922181,10,bank_app,33.3,dev_183492,2,0,0
90,16,1553676,1738540,10,bank_app,20.9,dev_580750,3,2,0
91,16,1227263,1096255,10,bank_app,6.87,dev_573627,0,3,0
92,17,2288751,1966510,10,qr_pay,59.75,dev_207537,2,2,0
93,17,22952,854768,9,bank_app,2.87,dev_830219,3,3,0
94,17,1172167,901475,10,qr_pay,16.42,dev_757066,3,0,0
95,17,1068977,786385,10,qr_pay,14.04,dev_356329,0,3,0
96,18,2291272,23351,9,qr_pay,38.6,dev_955348,0,0,0
97,18,386377,1575620,10,web,40.67,dev_355599,0,2,0
98,18,1689115,698424,11,merchant_api,73.27,dev_935477,3,3,0
99,18,1934928,1318388,9,qr_pay,17.79,dev_911521,2,2,0
100,18,1601528,459433,9,qr_pay,57.28,dev_679501,3,0,0
101,19,1747225,2070080,11,wallet,31.7,dev_391293,2,0,0
102,19,1770026,66037,10,merchant_api,5.26,dev_987855,2,2,0
103,19,1849591,516795,11,wallet,147.01,dev_725640,2,0,0
104,20,1740074,970984,10,wallet,6.72,dev_464208,0,0,0
105,20,1882020,349727,11,bank_app,38.77,dev_453278,2,2,0
106,20,658,898159,9,merchant_api,47.99,dev_707024,0,2,0
107,20,2069062,3687077,9,merchant_api,43.3,dev_207520,0,0,0
108,20,513510,457947,10,wallet,15.72,dev_775591,2,0,0
109,20,1847597,1643023,10,wallet,51.65,dev_082628,0,2,0
110,20,2083363,240282,9,merchant_api,8.3,dev_092656,0,2,0
